"day_payment_date","total_revenue","avg_revenue","no_of_transactions"
"2007-02-14 00:00:00","116.73","4.32","27"
"2007-02-15 00:00:00","1188.92","3.86","308"
"2007-02-16 00:00:00","1154.18","4.09","282"
"2007-02-17 00:00:00","1188.17","4.20","283"
"2007-02-18 00:00:00","1275.98","4.23","302"
"2007-02-19 00:00:00","1290.90","4.16","310"
"2007-02-20 00:00:00","1219.09","4.19","291"
"2007-02-21 00:00:00","917.87","4.31","213"
"2007-03-01 00:00:00","2808.24","4.15","676"
"2007-03-02 00:00:00","2550.05","4.29","595"
"2007-03-16 00:00:00","299.28","4.16","72"
"2007-03-17 00:00:00","2442.16","4.18","584"
"2007-03-18 00:00:00","2701.76","4.33","624"
"2007-03-19 00:00:00","2617.69","4.15","631"
"2007-03-20 00:00:00","2669.89","4.37","611"
"2007-03-21 00:00:00","2868.27","4.26","673"
"2007-03-22 00:00:00","2586.79","4.17","621"
"2007-03-23 00:00:00","2342.43","4.21","557"
"2007-04-05 00:00:00","273.36","4.27","64"
"2007-04-06 00:00:00","2077.14","4.27","486"
"2007-04-07 00:00:00","1984.28","4.20","472"
"2007-04-08 00:00:00","2227.84","4.32","516"
"2007-04-09 00:00:00","2067.86","4.02","514"
"2007-04-10 00:00:00","1973.18","4.09","482"
"2007-04-11 00:00:00","1940.32","4.15","468"
"2007-04-12 00:00:00","1930.48","4.27","452"
"2007-04-26 00:00:00","347.21","4.40","79"
"2007-04-27 00:00:00","2673.57","4.16","643"
"2007-04-28 00:00:00","2622.73","4.18","627"
"2007-04-29 00:00:00","2717.60","4.25","640"
"2007-04-30 00:00:00","5723.89","4.37","1311"
"2007-05-14 00:00:00","514.18","2.83","182"
